stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Velke Hamry mesto,408956.0,REG_317867,50.71962,15.313491,,
Velky Borek,,REG_629222,50.3467,14.515544,1.0,
Velky Borek,629222.0,REG_171885,50.3467,14.515544,,
Velky Grunov,,REG_336856,50.698612,14.728113,1.0,
Velky Grunov,336856.0,REG_217966,50.69847,14.728328,,
Velky Senov,,REG_415189,50.9933,14.380449,1.0,
Velky Senov,415189.0,REG_333666,50.99323,14.379944,,
Velky Senov,415189.0,REG_646009,50.993378,14.380956,,
Velky Senov zast.,,REG_471342,51.004704,14.394126,1.0,
Velky Senov zast.,471342.0,REG_332980,51.004704,14.394126,,
Velky Senov zastavka,,REG_636211,51.004704,14.393912,1.0,
Velky Senov zastavka,636211.0,REG_481237,51.004704,14.393912,,
Velky Valtinov,,REG_25002,50.742558,14.733565,1.0,
Velky Valtinov,25002.0,REG_95478,50.742588,14.733296,,
"Velký Borek, Melnicka Vrutice",,REG_259829,50.344357,14.54659,1.0,
"Velký Borek, Melnicka Vrutice",259829.0,REG_456713,50.344357,14.54659,,
Vellmar-Niedervellmar,,REG_156913,51.351852,9.478438,1.0,
Vellmar-Niedervellmar,156913.0,REG_86268,51.351852,9.478438,,
Vellmar-Obervellmar,,REG_345361,51.35968,9.452475,1.0,
Vellmar-Obervellmar,345361.0,REG_91689,51.35968,9.452475,,
Vellmar-Obervellmar Bahnhof,,REG_348055,51.35954,9.452527,1.0,
Vellmar-Obervellmar Gl.1 Ri. Hümme,348055.0,REG_383973,51.359894,9.452223,,1
Vellmar-Obervellmar Gl.2 Ri. Kassel,348055.0,REG_203215,51.35922,9.453075,,2
Vellmar-Obervellmar Gl.3 Ri. Kassel,348055.0,REG_210667,51.359188,9.453023,,3
Vellmar-Osterberg/EKZ,,REG_171376,51.354546,9.460373,1.0,
Vellmar-Osterberg/EKZ Gl.1 Ri. Kassel,171376.0,REG_134847,51.35431,9.460849,,1
Vellmar-Osterberg/EKZ Gl.2 Ri. Hümme,171376.0,REG_86133,51.35422,9.460709,,2
Velten(Mark),416665.0,REG_619329,52.68489,13.172034,,
"Velten, Bahnhof",,REG_416665,52.68502,13.171933,1.0,
Ventschow,672094.0,REG_566912,53.78721,11.580016,,
Ventschow Bahnhof,,REG_672094,53.78669,11.579931,1.0,
Veringendorf,306233.0,REG_372563,48.16028,9.199108,,
Veringendorf Bahnhof,,REG_306233,48.16037,9.199216,1.0,
Veringenstadt,273108.0,REG_519490,48.18141,9.210822,,
Veringenstadt Bahnhof,,REG_273108,48.181343,9.210912,1.0,
Vernawahlshausen,,REG_505756,51.629436,9.614148,1.0,
Vernawahlshausen,505756.0,REG_475120,51.629436,9.614148,,
Verviers Central,,REG_417496,50.58816,5.855,1.0,
Verviers Central,417496.0,REG_216854,50.58816,5.855,,
Verviers-Palais,,REG_513192,50.590908,5.864278,1.0,
Verviers-Palais,513192.0,REG_606461,50.590908,5.864278,,
Vesec u Liberce,,REG_573610,50.743484,15.081267,1.0,
Vesec u Liberce,573610.0,REG_263704,50.74347,15.08098,,
Vesele pod Rabstejnem,,REG_376879,50.794437,14.362876,1.0,
Vesele pod Rabstejnem,376879.0,REG_399686,50.794437,14.362876,,
Vetschau,168193.0,REG_331202,51.790302,14.079425,,2
Vetschau,168193.0,REG_482759,51.789303,14.082303,,1
"Vetschau, Bahnhof",,REG_168193,51.789753,14.081005,1.0,
Vettweiß,,REG_193449,50.743073,6.602616,1.0,
Vettweiß,193449.0,REG_173251,50.743073,6.602616,,
"Vettweiß, Jakobwüllesheim (Bus)",,REG_669283,50.76457,6.559849,1.0,
Vettweiß-Jakobwüllesheim,669283.0,REG_112025,50.766705,6.565209,,
Vichova n.Jizerou,,REG_3089,50.627186,15.484153,1.0,
